"event_list","count"
"upgr-pvw-fbprop-type-state-publ-fbprop-pvw-type-brpubl-fbprop-fbdel-publ-fbins-fbprop-publ-type-fbprop-publ-type-pvw",1
"upgr-lms-fbdel-lms-fbprop-lms-fbprop-lms-publ-type-fbins-lms-type-lms-fbprop-lms-publ-fbprop-lms-fbins-lms",1
"upgr-pvw-type-publ-lms-pvw-publ-type-lms-save-lms-pvw-lms-save-lms-type-lms-save-lms-publ-lms",1
"upgr-fbdel-publ-fbins-type-fbdel-lms-fbins-lms-fbdel-lms-fbdel-lms-fbdel-lms-fbdel-lms-fbdel-lms-fbdel-lms",1
"upgr-type-upgr-fbins-fbprop-type-publ-fbrem-type-pvw-arpubl-fbprop-fbdel-txt-arpubl-fbprop-fbdel-pvw-arcreat-fbprop-fbdel",1
"upgr-fbprop-publ-type-fbprop-save-pvw-fbprop-upgr-aa-upgr-fbprop-txt-aa-upgr-fbprop-aa-fbins-fbprop-pvw-publ",1
"upgr-publ-type-fbprop-pvw-type-publ-type-publ-pvw-type-ss-char-fbprop-char-ss-char-fbins-char-ss-char",1
"upgr-lms-aa-lms-state-publ-state-type-state-lms-state-lms-state-lms-state-publ-state-lms-state-lms-publ",1
"upgr-fbprop-fbdel-txt-fbprop-media-fbdel-txt-fbprop-grp-fbdel-txt-fbprop-media-fbdel-grp-fbprop-fbins-fbdel-media-fbprop",1
"upgr-int-ss-aa-type-aa-publ-fbprop-save-fbins-ss-aa-fbprop-pvw-fbins-publ-fbprop-type-fbprop-type-state",1
"upgr-addsl-publ-pvw-publ-type-pvw-int-pvw-int-publ-pvw-type-publ-pvw-publ-fbprop-type-pvw-publ-pvw",1
"upgr-save-brpubl-fbprop-brpubl-media-fbprop-svg-media-fbprop-svg-save-ss-fbprop-ss-fbprop-media-fbprop-state-fbprop-state",1
"upgr-arpubl-pvw-publ-brpubl-arpubl-type-lms-type-arpubl-lms-publ-arpubl-publ-lms-arpubl-publ-lms-arpubl-type-lms",1
"upgr-fbdel-char-fbprop-char-fbdel-state-fbprop-state-fbdel-media-fbprop-publ-fbdel-type-fbprop-upgr-fbdel-li-fbprop-state",1
"upgr-state-publ-state-type-publ-pvw-state-lms-type-pvw-state-lms-state-lms-fbins-save-state-lms-state-lms",1
"upgr-fbins-addsl-fbdel-addsl-fbins-addsl-fbdel-addsl-fbins-addsl-fbdel-addsl-fbins-media-fbdel-quiz-fbprop-addsl-fbdel-media",1
"upgr-type-fbprop-pvw-type-media-fbprop-pvw-int-fbprop-media-eff-save-fbprop-li-type-li-fbprop-txt-pvw-type",1
"upgr-txt-publ-addsl-pvw-txt-upgr-publ-pvw-addsl-publ-txt-type-fbprop-txt-publ-pvw-state-lms-dnd-fbprop",1
"upgr-lms-fbprop-lms-publ-lms-type-lms-fbprop-lms-upgr-lms-fbins-lms-type-publ-fbprop-type-lms-fbprop-lms",1
"upgr-aa-publ-grp-end",1
"upgr-fbprop-type-fbprop-type-fbprop-pvw-fbprop-publ-fbprop-pvw-fbprop-publ-fbprop-type-fbprop-pvw-fbprop-publ-fbprop-type",1
"upgr-aud-fbprop-fbdel-pvw-save-fbprop-fbdel-txt-save-fbprop-fbdel-txt-save-fbprop-fbdel-ss-save-fbprop-fbdel-ss",1
"upgr-fbprop-lms-publ-fbprop-lms-fbprop-type-lms-pvw-fbprop-lms-fbprop-publ-lms-fbprop-lms-fbprop-lms-type-fbprop",1
"upgr-type-publ-lms-open-quiz-fbprop-publ-pvw-type-publ-pvw-txt-publ-type-pvw-publ-addsl-pvw-upgr-addsl",1
"upgr-lms-fbdel-fbrem-lms-fbdel-fbrem-pvw-lms-fbdel-fbprop-lms-fbdel-fbprop-publ-lms-fbdel-char-type-lms-fbdel",1
"upgr-fbprop-arpubl-publ-fbprop-arpubl-publ-fbprop-pvw-arpubl-upgr-fbprop-pvw-arpubl-aud-fbprop-publ-arpubl-media-fbprop-type",1
"upgr-fbprop-type-publ-pvw-fbprop-pvw-fbprop-type-fbprop-publ-fbprop-type-fbprop-txt-fbprop-txt-fbprop-media-fbprop-txt",1
"upgr-publ-pvw-fbprop-publ-pvw-eff-fbprop-state-eff-fbprop-ss-publ-ss-fbprop-ss-publ-pvw-fbprop-ss-type",1
"upgr-lms-int-publ-addsl-lms-open-type-upgr-lms-publ-eff-lms-publ-int-lms-pvw-lms-pvw-lms-fbprop",1
"upgr-save-eff-publ-aa-state-aa-pvw-publ-state-type-brpubl-publ-type-fbprop-publ-fbprop-pvw-fbprop-state-fbprop",1
