"event_list","count"
"upgr-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-fbprop-lms-pvw",1
"upgr-fbprop-publ-fbprop-save-fbprop-publ-fbrem-publ-fbrem-pvw-fbprop-type-fbprop-fbdel-fbprop-state-fbprop-aa-fbprop-fbrem",1
"upgr-fbdel-ss-fbprop-fbins-fbdel-fbrem-fbprop-addsl-fbdel-ss-fbprop-eff-fbdel-pvw-fbprop-publ-fbdel-type-fbprop-pvw",1
"upgr-eff-fbdel-eff-type-pvw-fbdel-publ-type-fbdel-publ-fbdel-publ-fbdel-type-fbdel-pvw-fbdel-type-fbdel-pvw",1
"upgr-fbprop-txt-fbrem-fbprop-fbins-fbdel-fbins-txt-fbdel-txt-fbprop-fbdel-txt-ss-fbprop-ss-fbprop-fbins-publ-fbprop",1
"upgr-ss-pvw-txt-state-upgr-ss-state-ss-state-pvw-txt-aa-pvw-aa-obj-ss-type-pvw-publ-pvw",1
"upgr-state-addsl-fbdel-addsl-fbprop-grp-fbdel-type-publ-type-fbdel-grp-type-quiz-fbdel-upgr-fbprop-addsl-fbdel-publ",1
"upgr-fbprop-save-fbdel-publ-fbprop-type-fbdel-pvw-fbprop-type-fbdel-publ-fbprop-pvw-fbdel-save-fbprop-state-fbdel-state",1
"upgr-int-save-int-addsl-publ-pvw-txt-obj-vid-pvw-media-obj-ss-addsl-ss-save-eff-save-type-save",1
"upgr-fbprop-fbins-fbdel-fbins-fbprop-grp-fbdel-fbrem-fbprop-fbins-fbprop-save-fbins-grp-fbprop-end",1
"upgr-grp-txt-char-txt-char-aud-pvw-txt-char-aa-char-aa-char-aa-char-aa-save-aa-pvw-aa",1
"upgr-publ-save-aud-media-aud-save-type-publ-pvw-type-upgr-quiz-pvw-addsl-type-save-pvw-quiz-save-quiz",1
"upgr-publ-fbprop-fbins-end",1
"upgr-int-grp-char-publ-pvw-type-pvw-type-publ-type-publ-ss-int-txt-obj-dnd-fbdel-dnd-fbins-fbdel",1
"upgr-lms-state-lms-state-lms-state-lms-state-lms-pvw-lms-int-lms-pvw-lms-ss-lms-pvw-lms-pvw",1
"upgr-grp-addsl-grp-publ-type-addsl-pvw-obj-publ-state-type-pvw-grp-aa-fbins-aa-grp-pvw-fbprop-txt",1
"upgr-type-fbprop-txt-publ-type-pvw-addsl-type-publ-pvw-publ-type-publ-pvw-type-publ-type-publ-type-publ",1
"upgr-state-media-fbdel-media-fbdel-media-ss-save-fbdel-media-state-save-fbdel-addsl-ss-save-arcreat-media-state-save",1
"upgr-fbdel-pvw-fbprop-fbdel-fbins-fbprop-fbdel-fbprop-publ-fbdel-publ-fbprop-type-fbdel-pvw-fbprop-type-fbdel-pvw-fbprop",1
"upgr-type-pvw-char-addsl-lms-publ-lms-type-addsl-pvw-lms-publ-pvw-type-lms-pvw-lms-type-publ-lms",1
"upgr-fbprop-arcreat-fbprop-fbins-fbprop-fbdel-fbprop-end",1
"upgr-fbins-cap-fbins-cap-fbins-publ-fbprop-type-fbprop-pvw-fbdel-cap-fbdel-cap-fbins-cap-fbins-fbprop-publ-pvw",1
"upgr-fbprop-fbrem-fbdel-type-fbprop-pvw-fbdel-fbins-fbprop-fbdel-fbprop-publ-fbdel-fbprop-publ-fbdel-pvw-fbprop-publ-fbdel",1
"upgr-publ-pvw-fbdel-int-char-fbdel-publ-char-fbdel-upgr-media-char-fbdel-open-type-aa-fbdel-pvw-state-grp",1
